Journal du panier alt - top 15 par capitalisation, a chaque date
Une ligne par changement de composition.

2022-10-30  ada, algo, avaxp, cro, doge, ftt, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-11-08  ada, algo, avaxp, cro, doge, etc, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-11-09  ada, algo, avaxp, cro, doge, ht, leo_eth, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-11-10  ada, algo, avaxp, cro, doge, etc, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-11-12  ada, algo, avaxp, cro, doge, etc, leo_eth, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-11-22  ada, avaxp, cro, doge, etc, ht, leo_eth, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-12-01  ada, avaxp, cro, doge, etc, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2022-12-02  ada, avaxp, cro, doge, etc, ht, leo_eth, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2022-12-03  ada, avaxp, cro, doge, etc, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2022-12-16  ada, avaxp, cro, doge, ht, leo_eth, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-01-04  ada, avaxp, cro, doge, etc, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-01-17  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-02-02  ada, avaxp, cro, doge, etc, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-02-03  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-02-06  ada, avaxp, cro, doge, etc, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-02-07  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-02-08  ada, algo, avaxp, cro, doge, etc, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-02-09  ada, avaxp, cro, doge, etc, ldo, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-02-10  ada, avaxp, cro, doge, etc, ht, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-02-11  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-02-17  ada, avaxp, cro, doge, etc, icp, ldo, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2023-02-20  ada, avaxp, cro, doge, etc, ht, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2023-02-22  ada, avaxp, cro, doge, etc, icp, ldo, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2023-03-04  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-03-13  ada, avaxp, cro, doge, etc, ldo, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-03-14  ada, avaxp, cro, doge, etc, icp, ldo, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xrp
2023-03-15  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-04-03  ada, avaxp, bch, cro, doge, etc, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-04-04  ada, avaxp, cro, doge, etc, ldo, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-04-08  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp
2023-05-03  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-05-04  ada, avaxp, cro, doge, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp, xvg
2023-05-09  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-05-11  ada, avaxp, cro, doge, etc, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp, xvg
2023-05-12  ada, avaxp, cro, doge, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp, xvg
2023-05-15  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-05-16  ada, avaxp, cro, doge, icp, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp, xvg
2023-05-17  ada, avaxp, cro, doge, etc, icp, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-05-24  ada, avaxp, cro, doge, etc, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp, xvg
2023-06-10  ada, avaxp, cro, doge, leo_eth, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp, xvg
2023-06-21  ada, avaxp, bch, cro, doge, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp, xvg
2023-06-23  ada, avaxp, bch, cro, doge, etc, link, ltc, matic_eth, shib_eth, uni, xlm, xmr, xrp, xvg
2023-06-25  ada, avaxp, bch, cro, doge, link, ltc, matic_eth, qnt, shib_eth, uni, xlm, xmr, xrp, xvg
